sample_id,altura_t1_cm,temp_t1_c,precipitacao_t1_mm,umidade_t1_pct,altura_t2_cm,temp_t2_c,precipitacao_t2_mm,umidade_t2_pct,temp_futuro_2d_c,precipitacao_futuro_2d_mm,umidade_futuro_2d_pct,crescimento_passado_2d_cm,crescimento_futuro_2d_cm
S08880,56.81,25.32,0.0,67.69,57.054,18.4,0.0,62.51,26.05,0.0,81.58,0.244,0.31
S08910,67.489,21.52,0.0,72.9,67.741,25.13,21.91,68.55,24.44,0.0,70.21,0.252,0.135
S02151,59.253,26.27,0.0,65.82,59.475,30.72,0.0,77.33,21.6,0.0,74.87,0.222,0.23
S03936,56.916,27.83,14.22,70.91,57.31,17.34,0.0,63.29,19.79,0.92,75.7,0.394,0.235
S02129,58.562,12.74,0.0,49.41,58.704,25.17,4.86,73.77,22.12,1.86,67.37,0.142,0.293
S02405,71.015,23.19,0.0,59.88,71.138,14.28,0.0,72.21,20.24,2.54,70.02,0.123,0.181
S05638,58.987,25.94,0.0,79.63,59.267,23.71,0.0,80.46,27.23,24.19,76.41,0.28,0.609
S05532,52.022,13.76,0.0,57.15,52.142,18.9,0.0,69.4,17.34,0.0,57.69,0.12,0.112
S01922,47.501,21.53,10.48,78.3,47.908,21.1,13.3,82.24,24.55,10.3,68.16,0.407,0.478
S02946,56.058,16.66,0.0,63.11,56.186,24.64,0.0,59.97,20.4,1.16,69.65,0.128,0.2
S01230,56.769,19.41,0.0,75.25,56.995,23.41,0.0,68.51,23.23,0.77,73.82,0.226,0.271
S00105,65.619,29.41,0.0,56.7,65.946,26.08,0.0,53.57,20.0,2.95,61.15,0.327,0.172
S01415,64.098,22.45,0.0,77.25,64.235,24.27,0.0,80.64,22.89,0.9,64.75,0.137,0.214
S08624,52.649,18.71,3.23,79.06,53.206,19.79,0.0,76.65,28.22,0.0,79.42,0.557,0.424
S05091,75.458,27.85,0.0,73.78,75.745,21.57,0.0,63.69,25.1,1.49,63.18,0.287,0.123
S02458,71.626,21.77,0.0,73.61,71.767,26.92,0.0,69.05,23.54,3.65,53.64,0.141,0.099
S08402,49.572,16.98,0.0,60.45,49.873,21.64,2.5,91.36,18.76,1.65,70.48,0.301,0.266
S08051,61.357,20.5,0.0,81.24,61.603,20.75,4.35,61.83,22.19,3.74,78.44,0.246,0.174
S06041,63.742,21.41,0.0,64.79,63.824,18.47,0.0,76.08,25.85,38.61,77.87,0.082,0.671
S02917,53.175,22.62,0.0,73.25,53.638,23.09,9.67,74.03,20.99,0.0,62.44,0.463,0.199
S04429,55.64,19.37,0.0,66.95,55.866,25.94,0.0,82.56,23.3,1.8,66.15,0.226,0.212
S02254,67.836,19.49,0.0,78.15,67.998,24.19,0.0,66.44,25.03,11.74,77.52,0.162,0.457
S09346,62.694,23.11,0.0,73.3,62.917,25.44,0.0,74.95,19.19,0.0,62.85,0.223,0.135
S08944,72.495,18.06,0.0,59.86,72.542,20.46,0.0,69.01,25.67,2.23,86.83,0.047,0.221
S08026,62.267,20.62,0.0,89.46,62.517,23.29,0.0,77.65,23.97,0.0,72.06,0.25,0.167
S02955,61.937,25.66,0.0,67.83,62.144,25.27,0.0,66.12,21.52,0.0,61.12,0.207,0.178
S02215,76.036,27.25,3.91,43.99,76.148,26.67,7.7,92.96,20.37,0.0,66.06,0.112,0.138
S04121,54.176,25.66,0.0,82.06,54.436,20.14,6.28,71.73,22.64,11.77,71.23,0.26,0.353
S04679,65.811,20.67,8.82,68.77,65.986,20.29,0.0,79.47,20.97,0.0,66.56,0.175,0.151
S06478,59.303,21.41,0.0,85.42,59.756,25.3,0.0,64.08,24.06,19.74,69.22,0.453,0.385
S07179,68.326,20.81,29.07,74.39,68.83,20.23,0.0,77.51,21.18,4.29,81.95,0.504,0.249
S07484,54.94,21.97,0.0,64.74,55.219,21.87,0.0,75.65,19.67,5.0,57.86,0.279,0.141
S09783,76.163,23.9,0.0,67.45,76.29,25.27,9.06,72.12,18.75,3.08,73.93,0.127,0.08
S06643,61.383,26.76,0.0,64.5,61.626,18.81,0.0,73.35,18.37,0.0,68.18,0.243,0.129
S08615,68.612,25.8,0.0,75.85,68.803,23.64,5.24,79.42,22.41,0.0,68.9,0.191,0.187
S04846,60.692,23.79,0.0,65.86,60.893,23.97,1.12,67.45,22.28,0.0,78.2,0.201,0.362
S02125,58.283,21.39,0.0,76.73,58.473,24.41,4.33,63.9,20.34,0.0,79.41,0.19,0.245
S08828,67.544,17.07,5.51,66.44,67.567,26.92,0.0,77.42,22.89,0.93,88.5,0.023,0.267
S00300,56.37,26.19,0.0,65.23,56.724,22.36,3.94,76.45,26.46,0.24,79.5,0.354,0.364
S09438,53.641,23.58,0.0,65.29,53.898,28.1,0.0,70.78,23.03,7.17,67.65,0.257,0.342
S08683,43.679,21.27,0.0,61.53,43.916,22.0,2.46,80.19,18.39,0.0,61.36,0.237,0.295
S09916,67.5,22.69,11.53,66.84,67.796,18.14,0.0,67.19,20.62,12.83,64.66,0.296,0.251
S05465,64.879,25.22,0.0,78.37,65.047,25.46,16.46,73.82,22.86,0.71,72.6,0.168,0.25
S07563,48.183,26.36,0.0,58.37,48.726,18.21,0.0,64.91,21.03,2.1,57.75,0.543,0.225
S02979,61.217,24.8,0.0,64.68,61.403,25.41,0.0,86.07,25.73,1.66,83.13,0.186,0.324
S07972,68.124,23.01,0.0,76.8,68.281,22.57,0.0,66.8,21.86,9.98,70.13,0.157,0.22
S07430,58.514,19.63,0.0,60.22,58.616,18.21,0.16,65.99,23.75,4.5,71.15,0.102,0.311
S05366,57.32,28.15,0.0,50.23,57.584,19.94,0.0,72.8,22.78,0.0,75.61,0.264,0.193
S08362,73.493,22.41,0.0,71.66,73.987,22.44,0.0,72.69,24.8,9.55,67.87,0.494,0.291
S08305,59.552,28.17,0.0,73.57,59.811,30.27,6.1,61.67,26.51,23.38,85.48,0.259,0.504
S02418,67.902,17.61,0.0,66.3,68.037,21.97,0.0,70.91,28.7,7.4,82.41,0.135,0.356
S06943,52.14,20.65,0.0,54.41,52.406,19.84,3.06,81.38,27.39,0.0,75.98,0.266,0.37
S06303,79.029,24.46,0.0,73.81,79.13,25.79,7.06,72.86,21.61,0.0,65.3,0.101,0.048
S00789,54.333,14.5,0.0,55.08,54.525,27.16,0.0,61.41,25.38,0.0,81.67,0.192,0.342
S04138,73.21,22.07,0.0,72.61,73.419,24.11,6.51,58.28,25.73,0.0,63.87,0.209,0.23
S05970,62.607,20.06,0.0,62.57,62.662,17.57,0.0,67.37,26.82,5.04,67.71,0.055,0.247
S00260,57.693,22.56,0.75,65.57,57.855,22.18,0.0,69.81,21.65,18.36,67.06,0.162,0.414
S04918,61.237,19.36,0.0,65.0,61.407,26.97,0.0,76.01,23.8,5.4,67.69,0.17,0.256
S05121,65.542,22.43,0.0,78.23,65.767,22.98,2.98,75.24,25.08,0.91,82.31,0.225,0.27
S09709,58.349,18.37,0.0,82.31,58.578,14.95,10.19,58.75,24.08,2.74,70.2,0.229,0.326
S04639,51.448,23.69,0.0,57.67,51.777,20.52,4.55,74.63,20.67,0.0,77.98,0.329,0.38
S03316,62.223,23.92,0.0,77.49,62.453,19.35,0.0,56.0,27.68,1.17,75.4,0.23,0.333
S08103,72.092,20.65,2.69,67.52,72.248,24.0,0.0,73.03,26.08,1.85,72.58,0.156,0.304
S06348,65.831,28.51,0.0,73.67,66.059,21.79,9.04,60.98,23.05,0.0,64.59,0.228,0.194
S09648,64.007,19.0,0.14,59.08,64.179,23.51,0.0,83.03,18.98,0.0,52.45,0.172,0.088
S01206,73.123,23.22,0.0,71.94,73.317,25.05,0.0,72.56,22.22,4.57,76.81,0.194,0.155
S02051,53.342,25.36,7.49,78.87,53.867,25.04,9.13,82.95,21.65,2.26,66.51,0.525,0.281
S05851,60.343,13.48,0.0,63.37,60.377,22.41,0.0,62.48,18.58,0.0,56.65,0.034,0.027
S08382,50.865,18.23,0.0,81.67,51.136,19.46,0.0,82.53,18.49,8.15,75.59,0.271,0.312
S01669,57.065,22.91,0.0,85.73,57.365,30.94,0.0,68.19,22.13,1.37,72.67,0.3,0.252
S07016,57.66,25.01,6.57,68.53,58.011,27.88,0.0,84.48,19.39,1.48,67.86,0.351,0.267
S02178,59.617,20.7,2.05,66.8,59.87,19.14,0.0,56.2,22.14,0.0,66.58,0.253,0.234
S03594,73.02,26.54,0.0,71.3,73.273,23.18,0.0,68.02,23.89,15.94,72.03,0.253,0.375
S09092,71.16,25.49,18.66,81.37,71.502,22.03,1.68,72.04,20.17,0.0,67.54,0.342,0.087
S08710,56.671,16.92,12.5,58.66,56.848,23.96,0.0,71.16,18.54,7.62,68.7,0.177,0.241
S05949,81.618,21.99,0.0,59.56,81.727,16.35,0.0,67.85,23.83,0.0,66.56,0.109,0.13
S00819,63.449,27.55,6.18,78.74,63.745,20.49,7.61,68.59,24.32,0.0,64.73,0.296,0.182
S07265,60.916,20.34,0.0,84.14,61.3,25.3,0.0,89.48,16.38,0.0,62.46,0.384,0.01
S01254,66.012,19.35,0.0,53.82,66.179,17.48,0.0,70.41,22.82,22.51,77.65,0.167,0.388
S09557,59.58,24.66,0.0,77.17,59.84,26.45,0.0,64.72,26.26,13.31,72.24,0.26,0.453
S05100,71.852,23.68,0.0,76.11,71.991,17.53,0.0,57.18,24.43,0.0,79.97,0.139,0.155
S01607,78.774,20.23,0.0,76.55,78.828,22.65,0.0,73.7,21.69,5.66,65.62,0.054,0.192
S06474,70.894,20.18,8.22,75.56,71.187,28.77,0.0,68.8,20.01,0.0,76.67,0.293,0.148
S09656,61.393,24.18,0.0,71.55,61.608,23.59,30.79,79.9,26.85,1.32,65.44,0.215,0.246
S04205,63.723,20.66,3.57,76.97,64.274,27.06,0.91,71.78,27.35,1.45,83.04,0.551,0.278
S02224,53.612,21.69,0.0,68.36,53.921,27.87,0.0,75.99,24.56,13.26,71.24,0.309,0.364
S02680,65.054,22.2,9.69,62.93,65.371,23.3,15.84,73.57,21.75,0.0,66.64,0.317,0.151
S01427,61.881,27.73,4.13,64.37,62.243,27.79,16.28,70.09,21.77,0.0,68.13,0.362,0.201
S02937,68.805,14.52,0.0,82.47,68.921,22.87,20.87,67.3,20.07,0.0,75.9,0.116,0.096
S08741,55.517,22.51,28.77,60.62,56.067,22.96,0.74,78.96,26.15,2.39,72.5,0.55,0.365
S07067,67.035,23.98,0.0,65.26,67.308,21.78,0.0,60.02,24.96,5.2,74.29,0.273,0.328
S08489,58.346,22.83,0.0,77.29,58.603,21.9,0.0,66.99,27.17,3.05,64.14,0.257,0.395
S05324,59.952,18.8,0.0,61.93,60.021,24.66,0.0,85.52,23.64,3.24,76.59,0.069,0.312
S08529,62.2,24.91,1.22,75.03,62.474,27.1,2.43,85.74,21.14,0.0,55.78,0.274,0.13
S01732,64.56,17.04,0.0,79.34,64.673,19.15,1.38,73.79,24.48,14.26,77.19,0.113,0.324
S05081,58.743,17.21,0.0,71.39,59.075,21.59,0.0,53.55,20.48,1.37,64.08,0.332,0.133
S00752,67.268,24.22,18.07,80.76,67.614,22.57,0.0,75.0,24.77,27.86,65.81,0.346,0.455
S05979,66.84,17.26,0.0,74.43,66.997,25.33,5.25,77.15,21.63,6.35,76.14,0.157,0.16
S01149,63.652,23.1,1.09,76.66,63.828,25.74,0.0,72.17,25.19,6.4,72.72,0.176,0.318
S02121,63.305,21.43,0.0,79.07,63.5,19.27,0.0,54.21,15.89,0.2,88.33,0.195,0.106
S06499,71.335,27.1,1.75,78.13,71.549,20.39,10.59,64.37,19.51,6.02,61.2,0.214,0.064
S07110,68.415,32.15,0.0,77.13,68.568,19.5,4.45,67.15,22.41,2.03,80.78,0.153,0.248
S09888,51.248,20.09,0.0,69.36,51.602,21.89,17.04,71.21,24.34,9.87,63.7,0.354,0.379
S06863,57.789,18.35,0.0,67.94,58.047,23.74,0.0,65.7,24.88,0.0,68.02,0.258,0.308
S05483,53.049,20.71,0.0,62.31,53.257,23.62,0.0,80.85,21.85,0.0,64.15,0.208,0.213
S07673,56.689,28.06,0.0,59.55,57.059,19.43,2.39,73.03,23.61,5.1,77.21,0.37,0.347
S00049,66.83,25.04,9.96,77.66,67.132,21.49,9.65,68.27,19.68,2.26,56.75,0.302,0.155
S01920,43.029,25.05,0.0,94.05,43.401,31.95,0.0,74.9,26.77,0.0,63.95,0.372,0.51
S02315,70.699,20.05,10.22,48.65,70.865,21.11,0.0,75.56,24.52,4.12,70.27,0.166,0.239
S08798,74.239,19.06,0.0,79.11,74.477,27.07,0.0,51.82,19.07,0.0,53.49,0.238,0.07
S08756,45.523,22.98,4.26,68.39,45.794,24.84,0.0,66.81,26.79,2.4,80.25,0.271,0.421
S02474,77.402,26.79,5.31,57.9,77.724,17.73,0.0,73.9,23.92,3.8,73.91,0.322,0.214
S07900,46.754,29.01,0.0,62.69,47.1,20.48,0.0,67.75,20.94,0.0,77.31,0.346,0.281
S05806,71.27,20.16,0.0,63.23,71.398,15.94,0.0,72.18,21.92,1.13,63.8,0.128,0.112
S03333,51.561,23.03,0.0,74.58,51.908,16.48,0.0,46.45,22.36,2.26,67.53,0.347,0.364
S02821,56.287,21.3,0.0,76.1,56.512,23.4,0.0,74.03,23.75,7.32,52.91,0.225,0.234
S03010,71.223,26.13,8.1,76.45,71.504,16.45,0.0,70.42,27.94,0.0,59.25,0.281,0.153
S05725,66.018,17.64,5.41,71.68,66.244,14.23,0.0,72.34,19.95,0.0,77.15,0.226,0.146
S08130,49.001,16.17,0.0,66.92,49.424,28.95,0.0,75.16,31.06,15.74,66.35,0.423,0.56
S04117,71.433,24.8,11.44,63.17,71.677,23.37,5.21,72.69,23.82,0.0,77.09,0.244,0.212
S08865,63.148,25.53,0.0,73.44,63.345,21.99,0.0,73.62,22.53,2.08,72.69,0.197,0.219
S05607,63.262,23.56,5.24,60.19,63.536,25.64,0.0,68.99,23.71,19.15,75.19,0.274,0.414
S02448,62.968,19.43,5.3,67.68,63.189,22.3,0.0,76.84,19.36,5.81,71.63,0.221,0.214
S09949,61.583,17.3,0.0,55.44,61.774,19.84,0.0,69.47,24.51,0.0,69.98,0.191,0.248
S07511,55.715,20.42,0.0,69.15,55.966,19.59,0.0,58.09,19.71,7.84,63.8,0.251,0.241
S06037,71.739,20.96,0.0,62.03,71.857,25.27,0.0,69.66,25.76,0.0,68.49,0.118,0.151
S02335,63.209,22.18,10.91,62.23,63.469,23.89,8.92,71.52,19.82,0.0,73.92,0.26,0.25
S01672,70.468,25.32,0.0,77.77,70.61,24.85,9.58,62.53,27.42,8.91,79.74,0.142,0.345
S09592,53.571,20.24,0.0,62.53,53.828,21.33,0.0,66.73,24.36,15.35,63.64,0.257,0.449
S07270,59.987,20.23,0.0,78.87,60.246,25.98,0.0,69.18,21.97,20.0,71.06,0.259,0.538
S03020,69.462,16.5,0.0,59.0,69.567,16.65,0.0,58.3,24.53,0.0,63.58,0.105,0.129
S06203,74.566,25.28,0.0,74.89,74.741,23.49,0.0,69.82,25.36,5.99,63.07,0.175,0.192
S01131,54.822,21.92,5.99,69.09,55.17,28.45,0.0,78.24,26.26,1.64,65.56,0.348,0.343
S03618,63.291,25.76,2.41,68.7,63.518,16.39,0.0,69.55,17.9,0.0,60.3,0.227,0.083
S02667,52.062,25.47,0.0,72.28,52.362,26.08,1.73,75.32,21.39,0.0,63.88,0.3,0.225
S04226,65.372,22.66,19.01,80.49,65.915,24.38,14.71,75.15,21.01,5.37,65.45,0.543,0.107
S03881,63.264,20.71,0.0,64.07,63.429,18.5,0.0,73.8,22.85,0.0,69.39,0.165,0.161
S09210,56.347,24.63,4.39,73.84,56.698,27.35,0.0,76.25,20.96,0.0,73.87,0.351,0.229
S02236,66.478,24.39,0.0,67.99,66.688,17.99,0.0,77.29,24.34,5.69,75.0,0.21,0.258
S03397,78.58,22.96,0.0,65.18,78.633,23.16,0.0,78.86,23.9,1.12,71.49,0.053,0.181
S09582,65.597,27.82,0.0,61.84,65.784,20.03,0.0,60.75,25.92,33.9,67.8,0.187,0.66
S04188,69.453,17.74,0.0,73.52,69.599,25.87,0.0,80.29,19.4,0.0,60.39,0.146,0.125
S02349,44.471,24.45,0.0,64.42,44.817,27.28,0.0,70.83,20.53,0.23,66.3,0.346,0.267
S09407,58.031,26.8,0.0,78.37,58.396,27.0,0.0,75.86,21.78,17.31,67.07,0.365,0.353
S02099,56.191,25.38,0.0,59.86,56.544,21.58,0.0,69.48,21.46,21.93,66.8,0.353,0.354
S01163,69.186,22.2,0.0,75.41,69.381,22.26,0.0,53.09,16.1,0.0,53.85,0.195,0.039
S02364,61.363,29.29,0.0,66.34,61.741,26.03,0.0,73.38,24.26,0.0,69.66,0.378,0.305
S03193,63.187,25.78,0.0,71.6,63.447,27.79,7.56,76.07,21.71,6.09,72.81,0.26,0.217
S04580,69.263,27.71,0.0,72.44,69.536,24.43,3.62,66.39,17.37,0.61,75.25,0.273,0.088
S05145,55.053,26.63,0.0,78.49,55.3,22.97,16.82,67.08,19.01,0.0,60.16,0.247,0.14
S07416,55.557,27.59,0.0,77.49,55.877,23.12,0.0,72.59,21.98,16.97,67.61,0.32,0.383
S06486,73.02,17.2,0.0,72.26,73.123,21.71,8.19,75.3,22.07,4.26,85.34,0.103,0.193
S04230,57.393,17.64,0.0,66.0,57.494,22.52,3.74,63.08,14.65,4.61,55.06,0.101,0.072
S00643,49.271,26.17,0.0,79.35,49.607,23.58,0.0,90.03,26.7,0.68,71.06,0.336,0.303
S03391,57.996,20.44,3.58,67.92,58.2,20.92,3.62,61.06,23.98,0.0,75.49,0.204,0.297
S06819,49.34,21.9,6.53,79.04,49.779,24.97,0.0,74.36,21.4,0.49,64.74,0.439,0.241
S04901,61.955,22.67,0.0,62.02,62.186,28.59,5.73,86.88,18.79,0.0,59.05,0.231,0.101
S04304,48.861,23.4,0.0,66.57,49.239,20.39,0.0,70.11,25.33,2.84,59.91,0.378,0.264
S02658,61.766,22.67,9.52,64.84,62.091,26.02,3.68,67.04,21.02,3.03,74.57,0.325,0.342
S02467,54.693,21.65,3.76,66.57,54.905,27.14,2.13,75.93,27.68,0.0,57.34,0.212,0.282
S00434,68.039,25.8,0.0,77.72,68.167,22.84,0.0,56.96,23.72,0.5,70.09,0.128,0.177
S03807,78.13,20.36,0.0,62.37,78.2,15.98,0.0,66.83,21.04,0.03,66.71,0.07,0.036
S00298,60.432,26.19,0.0,72.75,60.671,26.55,0.0,75.85,24.55,0.27,65.43,0.239,0.196
S00880,51.041,12.59,0.0,69.7,51.269,21.28,11.62,90.22,20.88,0.0,70.17,0.228,0.243
S04828,66.86,19.83,0.0,53.25,67.043,21.7,0.0,67.96,19.1,0.0,69.52,0.183,0.059
S08869,67.581,20.34,0.0,76.38,67.727,25.19,17.76,76.12,24.59,3.89,82.6,0.146,0.263
S00652,64.908,18.54,0.0,69.47,65.132,18.53,0.0,74.01,25.07,0.0,80.0,0.224,0.232
S06298,58.309,18.46,3.49,67.84,58.448,21.38,11.5,66.45,20.1,3.18,50.85,0.139,0.124
S06629,61.58,28.27,0.0,73.5,61.828,21.77,0.0,80.95,26.25,0.99,71.16,0.248,0.238
S03737,58.567,17.55,0.0,56.11,58.725,25.32,0.0,56.95,19.3,0.0,60.23,0.158,0.079
S03240,58.806,23.76,0.0,72.94,59.094,25.72,0.0,60.76,26.47,2.31,79.28,0.288,0.329
S04183,51.399,23.57,0.0,63.75,51.87,25.58,0.0,90.71,20.87,12.15,63.13,0.471,0.387
S02900,65.269,25.1,0.0,81.97,65.581,21.26,0.0,73.38,23.68,3.29,55.55,0.312,0.109
S03900,59.419,20.5,0.0,64.42,59.599,15.77,0.0,63.98,20.09,1.84,73.64,0.18,0.157
S03540,66.606,25.39,29.87,85.41,67.236,24.49,0.0,81.52,24.93,0.0,67.72,0.63,0.218
S07485,69.573,25.07,0.0,68.57,69.769,21.88,0.0,64.33,25.64,0.0,64.85,0.196,0.209
S03092,81.376,25.23,0.0,59.79,81.438,23.52,5.72,79.87,18.48,6.83,71.95,0.062,0.156
S02603,65.973,19.57,0.0,66.96,66.125,24.99,0.0,68.5,21.84,0.7,60.74,0.152,0.111
S04096,61.333,26.72,2.5,55.31,61.513,22.93,0.0,56.71,23.11,9.11,71.21,0.18,0.356
S03854,47.029,22.68,6.32,82.3,47.459,25.26,7.41,72.18,24.51,5.87,76.81,0.43,0.46
S00258,68.832,20.57,28.93,71.28,69.29,25.57,0.0,73.58,20.01,1.07,65.17,0.458,0.038
S01260,70.586,26.44,0.0,71.24,71.119,29.27,0.0,68.08,22.67,0.37,68.87,0.533,0.191
S03445,54.689,18.26,0.0,63.97,55.002,25.89,0.0,69.55,21.69,0.0,63.17,0.313,0.188
S08224,63.292,21.07,0.0,58.45,63.469,22.57,0.0,67.63,21.12,1.61,61.02,0.177,0.195
S01011,55.615,28.53,0.0,84.63,56.029,24.02,0.0,66.56,20.55,5.24,62.28,0.414,0.167
S08294,51.977,21.42,5.73,63.64,52.29,26.21,0.0,75.31,20.75,0.0,64.67,0.313,0.277
S07570,66.614,22.38,0.0,57.42,66.716,16.23,0.0,65.76,23.64,2.84,63.61,0.102,0.258
S04322,64.051,17.72,2.53,67.09,64.186,26.19,35.0,75.7,25.8,0.0,84.18,0.135,0.277
S02649,73.083,23.97,0.0,71.11,73.242,25.86,22.01,67.28,26.2,15.55,87.99,0.159,0.442
S07038,58.952,24.97,0.0,70.65,59.246,26.39,0.87,79.95,16.86,3.35,70.96,0.294,0.226
S07146,67.122,22.66,17.16,68.99,67.503,17.57,0.0,69.76,21.31,2.68,71.67,0.381,0.153
S02674,48.658,26.05,0.0,79.65,48.949,22.15,0.0,85.31,23.36,0.0,83.18,0.291,0.355
S03162,60.827,24.0,8.8,64.37,61.19,12.28,0.0,62.95,23.16,0.4,71.36,0.363,0.17
S04296,53.275,27.76,0.0,81.54,53.636,27.02,1.62,62.43,21.34,0.43,70.28,0.361,0.318
S02234,62.749,16.2,0.0,60.42,62.871,15.81,0.0,85.26,26.8,4.87,71.75,0.122,0.269
S08149,60.604,22.24,16.71,61.38,61.042,23.53,0.45,73.99,20.03,12.81,71.57,0.438,0.262
S01148,63.512,24.64,1.97,68.74,63.819,22.42,0.0,76.81,19.6,8.13,72.1,0.307,0.183
S01659,58.23,13.99,0.0,55.24,58.382,22.31,0.0,71.18,25.7,1.83,57.89,0.152,0.211
S02684,58.274,21.17,3.83,67.46,58.506,20.24,0.0,73.97,26.78,0.0,76.68,0.232,0.332
S05620,65.977,18.39,0.0,57.28,66.094,21.39,0.0,60.83,15.11,0.0,68.74,0.117,0.054
S03703,60.189,22.26,0.0,65.1,60.408,18.26,0.0,57.75,22.53,0.0,75.26,0.219,0.321
S06192,59.799,21.59,0.0,75.16,60.009,26.42,0.0,56.46,23.56,1.0,77.68,0.21,0.219
S02893,68.778,21.83,0.0,72.09,69.086,17.83,0.0,71.28,22.33,0.0,68.77,0.308,0.131
S04722,63.741,23.83,0.0,78.24,63.949,24.93,0.0,67.51,25.29,17.3,91.45,0.208,0.421
S00342,56.43,23.54,0.0,82.86,56.778,22.1,11.12,73.04,23.94,24.99,71.05,0.348,0.507
S07595,64.39,18.22,13.7,57.17,64.669,21.83,0.0,65.75,19.68,2.68,68.27,0.279,0.119
S05800,49.083,24.97,22.08,71.39,49.654,15.86,0.0,56.74,21.94,0.0,65.26,0.571,0.327
S04115,50.378,25.65,0.0,73.29,50.77,24.12,0.0,82.98,17.66,0.0,70.4,0.392,0.242
S04193,75.017,27.17,0.82,72.16,75.169,20.04,0.0,59.47,17.38,1.34,71.17,0.152,0.01
S04990,51.554,17.8,0.0,74.27,51.822,27.28,13.47,68.86,22.5,20.96,77.95,0.268,0.531
S08298,52.969,20.55,0.0,78.03,53.226,29.29,7.01,58.13,24.61,0.0,68.85,0.257,0.33
S09647,64.519,26.81,0.0,75.75,64.679,24.65,0.0,77.72,22.33,14.47,72.42,0.16,0.373
S04008,52.282,20.96,0.0,70.1,52.469,14.91,0.0,70.69,25.14,0.0,63.15,0.187,0.3
S00263,70.636,23.89,6.46,69.62,70.83,23.68,6.95,88.78,19.89,2.69,75.15,0.194,0.111
S08215,46.881,25.74,0.0,69.25,47.277,25.91,20.55,66.92,19.46,0.0,70.41,0.396,0.153
S09580,52.009,21.0,2.89,78.46,52.358,21.19,6.96,63.42,22.18,7.97,70.91,0.349,0.373
S00697,57.938,23.21,0.0,74.18,58.145,13.92,1.58,60.64,20.26,0.0,64.31,0.207,0.186
S00948,46.083,24.38,0.0,65.53,46.408,29.99,0.59,65.55,21.61,5.12,78.05,0.325,0.393
S01159,71.646,15.47,0.0,53.12,71.666,19.01,0.0,62.96,20.24,7.74,67.6,0.02,0.137
S02464,62.059,24.07,0.0,69.73,62.28,23.17,0.0,72.9,24.92,2.16,72.92,0.221,0.265
S06381,43.422,23.24,0.0,78.19,43.817,26.48,0.0,67.9,21.15,13.44,59.85,0.395,0.328
S02758,59.758,27.61,0.0,79.89,60.092,24.28,0.0,65.89,23.96,7.66,65.32,0.334,0.324
S04654,63.979,29.68,2.9,65.25,64.346,23.93,0.0,66.11,22.52,9.78,54.27,0.367,0.238
S09508,60.8,24.47,0.15,61.12,61.027,25.03,0.0,81.35,20.41,0.37,72.68,0.227,0.241
S03204,60.513,22.05,23.64,68.11,60.957,22.52,0.0,64.89,20.15,0.0,77.98,0.444,0.235
S00036,80.256,21.19,0.0,65.57,80.359,24.17,0.0,61.0,23.4,32.24,75.16,0.103,0.441
S08054,68.7,25.47,0.0,70.45,68.842,23.47,0.0,65.56,21.95,0.0,71.72,0.142,0.186
S08620,60.893,27.87,6.63,79.04,61.192,19.51,11.15,76.79,20.76,0.36,77.8,0.299,0.215
S00712,44.803,21.56,0.08,70.97,45.085,24.35,0.0,68.13,18.4,0.0,69.67,0.282,0.228
S03866,69.506,15.87,0.0,74.55,69.619,23.06,0.0,69.79,21.26,4.86,69.69,0.113,0.1
S03338,52.116,20.05,0.0,78.52,52.354,26.37,0.0,77.01,24.59,36.3,79.78,0.238,0.726
S09330,52.122,28.96,0.0,65.69,52.431,17.68,0.0,59.17,23.67,2.54,68.13,0.309,0.306
S00669,72.154,22.08,0.0,80.09,72.269,28.87,0.0,74.1,21.93,0.0,70.79,0.115,0.098
S08928,75.411,24.14,3.94,83.5,75.538,24.58,0.0,70.23,22.81,7.02,60.89,0.127,0.131
S03070,61.939,26.18,0.0,55.52,62.129,15.64,0.0,74.63,24.85,18.84,61.52,0.19,0.309
S07297,50.718,25.29,0.0,62.64,51.096,23.72,1.74,69.07,23.53,29.71,74.9,0.378,0.597
S05389,53.655,31.02,13.02,66.22,54.116,24.3,0.0,69.58,20.0,0.0,66.82,0.461,0.166
S07528,61.785,24.41,0.0,82.91,61.98,19.07,0.0,63.21,24.09,24.55,73.85,0.195,0.506
S01435,71.853,23.7,0.0,65.13,72.034,24.0,4.11,78.89,19.48,0.0,72.69,0.181,0.08
S05624,66.274,24.69,11.94,68.79,66.717,27.44,0.16,82.25,26.01,0.2,70.36,0.443,0.262
S04989,61.119,24.25,0.0,75.71,61.362,18.88,0.0,66.5,18.85,1.36,79.11,0.243,0.231
S01250,58.624,21.58,0.0,75.67,58.953,15.88,0.0,58.48,27.5,0.0,79.42,0.329,0.343
S02896,61.495,16.37,0.0,60.56,61.667,27.35,0.0,62.59,16.84,3.88,72.24,0.172,0.141
S06815,58.263,25.9,0.0,72.53,58.545,18.13,0.0,53.35,25.61,0.0,59.38,0.282,0.381
S08291,59.613,13.38,0.0,71.6,59.636,14.87,0.0,71.82,20.95,0.0,61.18,0.023,0.211
S03708,51.958,21.81,0.0,66.16,52.141,23.62,0.0,76.07,26.08,5.75,67.77,0.183,0.456
S07987,49.322,20.82,0.0,60.88,49.844,23.05,0.0,86.81,20.1,0.0,74.17,0.522,0.279
